# Caravan release-parser corpus.
#
# PLAN.md standing rule: this corpus only ever grows. Every parser bug found in
# any phase adds an entry here BEFORE the fix lands.
#
# Format, one case per line:
#
#   <release name> | key=value; key=value; ...
#
# Blank lines and lines starting with '#' are ignored. The name and the
# expectation are separated by " | " (space pipe space).
#
# Keys: title, year, season, episodes (comma separated), quality, source,
# codec, audio, bitdepth, group, proper, repack, edition, container, minconf,
# maxconf.
#
# Omitted keys are asserted as zero values, EXCEPT quality and source, which
# default to "unknown" (what the parser returns when it recognizes neither).
# So every field the parser must NOT populate is checked by omission.

# ---------------------------------------------------------------- movies ----
Big.Buck.Bunny.2008.1080p.BluRay.x264-GROUP | title=Big Buck Bunny; year=2008; quality=1080p; source=bluray; codec=x264; group=GROUP; minconf=0.9
Big Buck Bunny (2008).mp4 | title=Big Buck Bunny; year=2008; container=mp4; minconf=0.5; maxconf=0.6
Blade Runner 2049 (2017) | title=Blade Runner 2049; year=2017; minconf=0.5; maxconf=0.6
Blade.Runner.2049.2017.2160p.UHD.BluRay.x265.HDR.DTS-HD.MA.7.1-TERMiNAL | title=Blade Runner 2049; year=2017; quality=2160p; source=bluray; codec=x265; audio=DTS-HD; group=TERMiNAL; minconf=0.95
The.Matrix.1999.REMASTERED.1080p.BluRay.x264-AMIABLE | title=The Matrix; year=1999; quality=1080p; source=bluray; codec=x264; edition=Remastered; group=AMIABLE; minconf=0.9
Alien.1979.Directors.Cut.1080p.BluRay.DTS.x264-DON | title=Alien; year=1979; quality=1080p; source=bluray; codec=x264; audio=DTS; edition=Director's Cut; group=DON; minconf=0.95
Avatar.2009.EXTENDED.COLLECTORS.CUT.2160p.WEB-DL.DDP5.1.Atmos.HDR.HEVC-FLUX | title=Avatar; year=2009; quality=2160p; source=webdl; codec=hevc; audio=Atmos; edition=Extended; group=FLUX; minconf=0.95
Dune.Part.Two.2024.1080p.WEBRip.x264.AAC5.1-[YTS.MX] | title=Dune Part Two; year=2024; quality=1080p; source=webrip; codec=x264; audio=AAC; group=YTS.MX; minconf=0.95
Spider-Man.Into.the.Spider-Verse.2018.1080p.BluRay.x264-SPARKS | title=Spider-Man Into the Spider-Verse; year=2018; quality=1080p; source=bluray; codec=x264; group=SPARKS; minconf=0.9
1917.2019.1080p.BluRay.x264-VETO | title=1917; year=2019; quality=1080p; source=bluray; codec=x264; group=VETO; minconf=0.9
2012.2009.720p.BluRay.x264-METiS | title=2012; year=2009; quality=720p; source=bluray; codec=x264; group=METiS; minconf=0.9
Mad.Max.Fury.Road.2015.PROPER.1080p.BluRay.x264-SPARKS | title=Mad Max Fury Road; year=2015; quality=1080p; source=bluray; codec=x264; group=SPARKS; proper=true; minconf=0.9
The.Godfather.1972.REPACK.2160p.UHD.BluRay.x265-TERMiNAL | title=The Godfather; year=1972; quality=2160p; source=bluray; codec=x265; group=TERMiNAL; repack=true; minconf=0.9
Interstellar.2014.IMAX.1080p.BluRay.DTS-X.x264-CtrlHD | title=Interstellar; year=2014; quality=1080p; source=bluray; codec=x264; audio=DTS-X; edition=IMAX; group=CtrlHD; minconf=0.95
The.Lord.of.the.Rings.The.Fellowship.of.the.Ring.2001.EXTENDED.720p.BluRay.x264-SiNNERS | title=The Lord of the Rings The Fellowship of the Ring; year=2001; quality=720p; source=bluray; codec=x264; edition=Extended; group=SiNNERS; minconf=0.9
Se7en.1995.REMASTERED.1080p.BluRay.DD5.1.x264-playHD | title=Se7en; year=1995; quality=1080p; source=bluray; codec=x264; audio=AC3; edition=Remastered; group=playHD; minconf=0.95
Casino.Royale.2006.1080p.BluRay.DTS.x264-CtrlHD | title=Casino Royale; year=2006; quality=1080p; source=bluray; codec=x264; audio=DTS; group=CtrlHD; minconf=0.95
Parasite.2019.KOREAN.1080p.BluRay.H264.AAC-VXT | title=Parasite; year=2019; quality=1080p; source=bluray; codec=h264; audio=AAC; group=VXT; minconf=0.95
The.Thing.1982.2160p.BluRay.REMUX.HEVC.DTS-HD.MA.5.1-FGT | title=The Thing; year=1982; quality=2160p; source=bluray; codec=hevc; audio=DTS-HD; group=FGT; minconf=0.95
Arrival.2016.1080p.BluRay.x264-[YTS.AG] | title=Arrival; year=2016; quality=1080p; source=bluray; codec=x264; group=YTS.AG; minconf=0.9
Rear.Window.1954.DVDRip.XviD-CLASSiC | title=Rear Window; year=1954; quality=480p; source=dvd; codec=xvid; group=CLASSiC; minconf=0.9
New.Blockbuster.2025.HDCAM.850MB-C1NEM4 | title=New Blockbuster; year=2025; source=cam; group=C1NEM4; minconf=0.7; maxconf=0.8
Movie.With.No.Year.1080p.WEB-DL.DDP5.1.H.264-NTb | title=Movie With No Year; quality=1080p; source=webdl; codec=h264; audio=EAC3; group=NTb; minconf=0.65; maxconf=0.75
Top.Gun.Maverick.2022.IMAX.2160p.WEB-DL.DDP5.1.Atmos.DV.HDR.HEVC-CMRG | title=Top Gun Maverick; year=2022; quality=2160p; source=webdl; codec=hevc; audio=Atmos; edition=IMAX; group=CMRG; minconf=0.95
Gladiator.2000.Extended.Edition.1080p.BluRay.x264.AC3-EVO | title=Gladiator; year=2000; quality=1080p; source=bluray; codec=x264; audio=AC3; edition=Extended; group=EVO; minconf=0.95
Apocalypse.Now.Redux.1979.1080p.BluRay.x264-AMIABLE | title=Apocalypse Now; year=1979; quality=1080p; source=bluray; codec=x264; edition=Redux; group=AMIABLE; minconf=0.9
Blade.Runner.The.Final.Cut.1982.1080p.BluRay.x264-CtrlHD | title=Blade Runner; year=1982; quality=1080p; source=bluray; codec=x264; edition=Final Cut; group=CtrlHD; minconf=0.9
Superman.The.Movie.1978.Special.Edition.1080p.BluRay.x264-AMIABLE | title=Superman The Movie; year=1978; quality=1080p; source=bluray; codec=x264; edition=Special Edition; group=AMIABLE; minconf=0.9
Heat.1995.1080p.BluRay.TrueHD.5.1.x264-GROUP | title=Heat; year=1995; quality=1080p; source=bluray; codec=x264; audio=TrueHD; group=GROUP; minconf=0.95
Dunkirk.2017.1080p.BluRay.TrueHD.7.1.Atmos.x264-GROUP | title=Dunkirk; year=2017; quality=1080p; source=bluray; codec=x264; audio=Atmos; group=GROUP; minconf=0.95
Some.Old.Movie.2001.DVDRip.XviD.MP3-GROUP | title=Some Old Movie; year=2001; quality=480p; source=dvd; codec=xvid; audio=MP3; group=GROUP; minconf=0.95
Some.Documentary.2020.2160p.WEB.VP9.Opus-YTDL | title=Some Documentary; year=2020; quality=2160p; source=webdl; codec=vp9; audio=Opus; group=YTDL; minconf=0.95
Everything.Everywhere.All.at.Once.2022.1080p.BluRay.DD+7.1.x264-LoRD | title=Everything Everywhere All at Once; year=2022; quality=1080p; source=bluray; codec=x264; audio=EAC3; group=LoRD; minconf=0.95
Some.Movie.2018.1080p.BluRay.FLAC.2.0.x264-GROUP | title=Some Movie; year=2018; quality=1080p; source=bluray; codec=x264; audio=FLAC; group=GROUP; minconf=0.95
Another.Movie.2020.720p.WEBRip.XviD.AC3-EVO | title=Another Movie; year=2020; quality=720p; source=webrip; codec=xvid; audio=AC3; group=EVO; minconf=0.95
Some_Movie_Name_2015_1080p_BluRay_x264-GROUP | title=Some Movie Name; year=2015; quality=1080p; source=bluray; codec=x264; group=GROUP; minconf=0.9
Some Movie Name 2015 1080p BluRay x264-GROUP | title=Some Movie Name; year=2015; quality=1080p; source=bluray; codec=x264; group=GROUP; minconf=0.9
Some.Movie.2015.[1080p].[BluRay].[x264]-GROUP | title=Some Movie; year=2015; quality=1080p; source=bluray; codec=x264; group=GROUP; minconf=0.9
The.Departed.2006.1080p.BluRay.x264.anoXmous | title=The Departed; year=2006; quality=1080p; source=bluray; codec=x264; minconf=0.8; maxconf=0.9

# --------------------------------------------------------------- episodes ----
Planet Earth II (2016) - S01E01 - Islands.mkv | title=Planet Earth II; year=2016; season=1; episodes=1; container=mkv; minconf=0.5; maxconf=0.6
The.Expanse.S04E01.1080p.WEB-DL.DDP5.1.H.264-NTb | title=The Expanse; season=4; episodes=1; quality=1080p; source=webdl; codec=h264; audio=EAC3; group=NTb; minconf=0.95
Breaking.Bad.S05E14.Ozymandias.1080p.BluRay.x264-DEMAND | title=Breaking Bad; season=5; episodes=14; quality=1080p; source=bluray; codec=x264; group=DEMAND; minconf=0.9
Chernobyl.S01E01.1.23.45.1080p.AMZN.WEB-DL.DDP5.1.H.264-NTb | title=Chernobyl; season=1; episodes=1; quality=1080p; source=webdl; codec=h264; audio=EAC3; group=NTb; minconf=0.95
Doctor.Who.2005.S09E01.720p.HDTV.x264-FoV | title=Doctor Who; year=2005; season=9; episodes=1; quality=720p; source=hdtv; codec=x264; group=FoV; minconf=0.9
Doctor.Who.S00E01.The.Christmas.Invasion.720p.HDTV.x264-GROUP | title=Doctor Who; season=0; episodes=1; quality=720p; source=hdtv; codec=x264; group=GROUP; minconf=0.9
Game.of.Thrones.S08E06.PROPER.1080p.WEB.H264-MEMENTO | title=Game of Thrones; season=8; episodes=6; quality=1080p; source=webdl; codec=h264; group=MEMENTO; proper=true; minconf=0.9
Rick.and.Morty.S05E10.REPACK.1080p.HEVC.x265-MeGusta | title=Rick and Morty; season=5; episodes=10; quality=1080p; codec=x265; group=MeGusta; repack=true; minconf=0.8; maxconf=0.9
The.Mandalorian.S02E08.1080p.DSNP.WEB-DL.DDP5.1.Atmos.H.264-TOMMY | title=The Mandalorian; season=2; episodes=8; quality=1080p; source=webdl; codec=h264; audio=Atmos; group=TOMMY; minconf=0.95
Sherlock.S03E01.The.Empty.Hearse.720p.HDTV.x264-TLA | title=Sherlock; season=3; episodes=1; quality=720p; source=hdtv; codec=x264; group=TLA; minconf=0.9
Better.Call.Saul.S06E13.2160p.WEB-DL.DDP5.1.HDR.H.265-NTb | title=Better Call Saul; season=6; episodes=13; quality=2160p; source=webdl; codec=h265; audio=EAC3; group=NTb; minconf=0.95
